country,year,value,value_type,sex,age_group,display
,2008,48.0 [46.7-49.6],,,,
,2002,67.8 [67.1-68.6],,,,
,2011,75.2 [75.1-75.4],,,,
,2005,73.1 [72.8-73.5],,,,
,2003,76.9 [76.7-77.2],,,,
,2014,78.6 [78.6-78.7],,,,
,2007,69.6 [69.3-70.0],,,,
,2020,73.9 [73.3-74.4],,,,
,2004,72.1 [71.6-72.7],,,,
,2014,78.4 [78.0-78.9],,,,
,2015,77.1 [77.1-77.2],,,,
,2020,83.2 [83.1-83.3],,,,
,2020,76.1 [76.1-76.3],,,,
,2005,58.3 [57.7-59.0],,,,
,2019,72.9 [72.4-73.6],,,,
,2009,76.6 [76.2-76.9],,,,
,2012,73.8 [73.4-74.2],,,,
,2003,72.3 [72.0-72.6],,,,
,2006,67.1 [66.8-67.4],,,,
,2020,71.7 [71.4-72.1],,,,
,2003,65.7 [64.9-66.6],,,,
,2017,72.1 [71.5-72.9],,,,
,2016,72.6 [71.9-73.2],,,,
,2016,80.4 [80.4-80.4],,,,
,2015,72.2 [71.7-72.7],,,,
,2006,81.0 [81.0-81.1],,,,
,2005,80.9 [80.8-81.1],,,,
,2018,63.6 [62.7-64.6],,,,
,2001,63.8 [63.2-64.5],,,,
,2018,61.3 [60.1-62.4],,,,
,2007,58.6 [57.7-59.2],,,,
,2016,75.5 [75.3-75.9],,,,
,2005,50.8 [49.6-52.2],,,,
,2004,81.5 [81.3-81.8],,,,
,2013,79.1 [78.5-80.0],,,,
,2017,81.7 [81.7-81.8],,,,
,2011,65.0 [64.3-65.9],,,,
,2012,84.5 [84.5-84.6],,,,
,2016,80.0 [80.0-80.1],,,,
,2011,72.9 [72.7-73.1],,,,
,2020,73.5 [73.4-73.6],,,,
,2002,77.9 [77.9-78.0],,,,
,2005,78.3 [78.3-78.4],,,,
,2021,64.3 [62.8-65.4],,,,
,2004,75.9 [75.9-76.0],,,,
,2000,70.6 [70.2-71.0],,,,
,2009,66.3 [66.0-66.6],,,,
,2018,83.4 [83.3-83.4],,,,
,2014,54.7 [53.7-55.9],,,,
,2001,76.0 [75.5-76.7],,,,
,2012,61.2 [60.0-62.6],,,,
,2016,73.9 [73.5-74.3],,,,
,2017,77.3 [77.0-77.7],,,,
,2018,70.6 [70.3-70.9],,,,
,2003,79.1 [79.0-79.1],,,,
,2018,68.9 [68.4-69.5],,,,
,2013,77.8 [77.3-78.3],,,,
,2014,46.0 [44.9-47.4],,,,
,2001,76.5 [76.4-76.6],,,,
,2005,78.0 [78.0-78.1],,,,
,2018,74.9 [74.3-75.6],,,,
,2001,82.8 [82.7-82.8],,,,
,2021,58.5 [57.8-59.4],,,,
,2020,64.4 [63.4-65.4],,,,
,2011,69.8 [69.8-69.8],,,,
,2005,58.6 [57.8-59.6],,,,
,2021,72.5 [72.1-73.1],,,,
,2020,64.4 [63.6-65.4],,,,
,2000,76.0 [76.0-76.1],,,,
,2005,55.2 [54.4-56.0],,,,
,2000,65.9 [65.6-66.4],,,,
,2010,81.2 [81.0-81.4],,,,
,2015,74.5 [74.5-74.7],,,,
,2017,82.1 [82.0-82.3],,,,
,2010,74.8 [74.7-74.8],,,,
,2001,54.4 [53.5-55.6],,,,
,2011,56.2 [55.3-57.1],,,,
,2000,63.7 [63.2-64.3],,,,
,2019,64.1 [63.3-65.0],,,,
,2007,66.9 [66.4-67.5],,,,
,2012,55.1 [54.2-56.2],,,,
,2010,82.5 [82.5-82.6],,,,
,2021,72.7 [72.1-73.5],,,,
,2013,80.2 [80.1-80.3],,,,
,2004,72.9 [72.6-73.2],,,,
,2005,75.6 [75.6-75.7],,,,
,2012,65.6 [65.2-66.0],,,,
,2013,62.5 [61.6-63.6],,,,
,2018,74.0 [73.8-74.4],,,,
,2018,79.4 [79.0-79.8],,,,
,2003,74.9 [74.8-75.0],,,,
,2003,71.8 [71.8-71.9],,,,
,2010,56.5 [55.5-57.4],,,,
,2000,69.4 [69.0-69.9],,,,
,2009,63.9 [63.2-64.8],,,,
,2011,58.2 [57.2-59.1],,,,
,2008,70.9 [70.7-71.2],,,,
,2014,75.9 [75.7-76.2],,,,
,2019,76.5 [76.2-76.8],,,,
,2003,51.4 [50.6-52.4],,,,
